mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,2,2346,512,100,1800,2,300,1,29800,0,0,0,29800,0,100,0.4096,0,0,5,0.0167785,48.8255
mobile,2,2346,512,100,1800,300,600,1,30000,0,0,0,30000,0,100,0.4096,0,0,5,0.0166667,56.5
mobile,2,2346,512,100,1800,600,900,1,30000,2965,1601100,1518080,27035,9.88333,90.1167,0.4096,0.0404821,4.96672,4,0.0133333,52.6667
mobile,2,2346,512,100,1800,900,1200,1,30000,11654,6293160,5966848,18346,38.8467,61.1533,0.4096,0.159116,8.49808,4,0.0133333,34.8333
mobile,2,2346,512,100,1800,1200,1500,1,30000,0,0,0,30000,0,100,0.4096,0,0,3,0.01,76.6667
mobile,2,2346,512,100,1800,1500,1800,1,30000,2285,1233900,1169920,27715,7.61667,92.3833,0.4096,0.0311979,0.465277,3,0.01,42.1667
mobile,3,2346,512,100,1800,2,300,2,59600,1646,888840,842752,57954,2.76174,97.2383,0.8192,0.0226242,8.41781,10,0.033557,49.1611
mobile,3,2346,512,100,1800,300,600,2,60000,1310,707400,670720,58690,2.18333,97.8167,0.8192,0.0178859,0.471417,7,0.0233333,55.4167
mobile,3,2346,512,100,1800,600,900,2,60000,3850,2079000,1971200,56150,6.41667,93.5833,0.8192,0.0525653,4.00017,10,0.0333333,54.0833
mobile,3,2346,512,100,1800,900,1200,2,60000,10242,5530680,5243904,49758,17.07,82.93,0.8192,0.139837,5.78307,9,0.03,34.4167
mobile,3,2346,512,100,1800,1200,1500,2,60000,2691,1453140,1377792,57309,4.485,95.515,0.8192,0.0367411,5.37518,8,0.0266667,46.8333
mobile,3,2346,512,100,1800,1500,1800,2,60000,9088,4907520,4653056,50912,15.1467,84.8533,0.8192,0.124081,10.7948,10,0.0333333,50.8333
mobile,4,2346,512,100,1800,2,300,3,89400,0,0,0,89400,0,100,1.2288,0,0,16,0.0536913,55.2013
mobile,4,2346,512,100,1800,300,600,3,90000,0,0,0,90000,0,100,1.2288,0,0,14,0.0466667,61
mobile,4,2346,512,100,1800,600,900,3,90000,6351,3429540,3251712,83649,7.05667,92.9433,1.2288,0.0867123,2.63986,15,0.05,50.6111
mobile,4,2346,512,100,1800,900,1200,3,90000,1823,984420,933376,88177,2.02556,97.9744,1.2288,0.02489,0.493864,12,0.04,49.8889
mobile,4,2346,512,100,1800,1200,1500,3,90000,12213,6595020,6253056,77787,13.57,86.43,1.2288,0.166748,6.20243,18,0.06,47.2778
mobile,4,2346,512,100,1800,1500,1800,3,90000,4716,2546640,2414592,85284,5.24,94.76,1.2288,0.0643891,6.13203,10,0.0333333,60.6111
mobile,5,2346,512,100,1800,2,300,4,119200,6257,3378780,3203584,112943,5.24916,94.7508,1.6384,0.0860023,8.02624,16,0.0536913,58.9346
mobile,5,2346,512,100,1800,300,600,4,120000,6760,3650400,3461120,113240,5.63333,94.3667,1.6384,0.0922965,4.42863,17,0.0566667,54.5417
mobile,5,2346,512,100,1800,600,900,4,120000,11161,6026940,5714432,108839,9.30083,90.6992,1.6384,0.152385,6.37548,16,0.0533333,55.75
mobile,5,2346,512,100,1800,900,1200,4,120000,13073,7059420,6693376,106927,10.8942,89.1058,1.6384,0.17849,6.06721,15,0.05,61.75
mobile,5,2346,512,100,1800,1200,1500,4,120000,6475,3496500,3315200,113525,5.39583,94.6042,1.6384,0.0884053,6.54309,19,0.0633333,48.5417
mobile,5,2346,512,100,1800,1500,1800,4,120000,9646,5208840,4938752,110354,8.03833,91.9617,1.6384,0.1317,4.75157,16,0.0533333,53.9167
mobile,6,2346,512,100,1800,2,300,5,149000,15460,8348400,7915520,133540,10.3758,89.6242,2.048,0.212497,8.10048,19,0.0637584,54.9329
mobile,6,2346,512,100,1800,300,600,5,150000,11519,6220260,5897728,138481,7.67933,92.3207,2.048,0.157273,8.5936,17,0.0566667,64
mobile,6,2346,512,100,1800,600,900,5,150000,12274,6627960,6284288,137726,8.18267,91.8173,2.048,0.167581,3.9384,19,0.0633333,50.5667
mobile,6,2346,512,100,1800,900,1200,5,150000,4619,2494260,2364928,145381,3.07933,96.9207,2.048,0.0630647,6.205,23,0.0766667,53.5333
mobile,6,2346,512,100,1800,1200,1500,5,150000,7776,4199040,3981312,142224,5.184,94.816,2.048,0.106168,3.9351,21,0.07,57.9333
mobile,6,2346,512,100,1800,1500,1800,5,150000,20060,10832400,10270720,129940,13.3733,86.6267,2.048,0.273886,6.55699,23,0.0766667,56.0667
mobile,7,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,15,0.0503356,63.7584
mobile,7,2346,512,100,1800,300,600,6,179800,8103,4375620,4148736,171697,4.50667,95.4933,2.4576,0.110633,5.70554,28,0.0933333,54.0323
mobile,7,2346,512,100,1800,600,900,6,180000,11941,6448140,6113792,168059,6.63389,93.3661,2.4576,0.163034,7.51388,29,0.0966667,56
mobile,7,2346,512,100,1800,900,1200,6,180000,6465,3491100,3310080,173535,3.59167,96.4083,2.4576,0.0882688,7.17697,30,0.1,55.8889
mobile,7,2346,512,100,1800,1200,1500,6,180000,3897,2104380,1995264,176103,2.165,97.835,2.4576,0.053207,3.77574,25,0.0833333,57.3056
mobile,7,2346,512,100,1800,1500,1800,6,180000,11113,6001020,5689856,168887,6.17389,93.8261,2.4576,0.151729,7.01536,27,0.09,57.5833
mobile,8,2346,512,100,1800,2,300,5,149000,3978,2148120,2036736,145022,2.6698,97.3302,2.048,0.0546775,7.08797,24,0.0805369,55.0336
mobile,8,2346,512,100,1800,300,600,7,209600,4280,2311200,2191360,205320,2.04198,97.958,2.8672,0.0584363,9.11735,27,0.09,59.1126
