mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
static,2,2346,512,100,1800,2,300,1,29800,0,0,0,29800,0,100,0.4096,0,0,0,0,100
static,2,2346,512,100,1800,300,600,1,30000,0,0,0,30000,0,100,0.4096,0,0,0,0,100
static,2,2346,512,100,1800,600,900,1,30000,0,0,0,30000,0,100,0.4096,0,0,0,0,100
static,2,2346,512,100,1800,900,1200,1,30000,0,0,0,30000,0,100,0.4096,0,0,0,0,100
static,2,2346,512,100,1800,1200,1500,1,30000,0,0,0,30000,0,100,0.4096,0,0,0,0,100
static,2,2346,512,100,1800,1500,1800,1,30000,0,0,0,30000,0,100,0.4096,0,0,0,0,100
static,3,2346,512,100,1800,2,300,2,59600,0,0,0,59600,0,100,0.8192,0,0,0,0,100
static,3,2346,512,100,1800,300,600,2,60000,0,0,0,60000,0,100,0.8192,0,0,0,0,100
static,3,2346,512,100,1800,600,900,2,60000,0,0,0,60000,0,100,0.8192,0,0,0,0,100
static,3,2346,512,100,1800,900,1200,2,60000,0,0,0,60000,0,100,0.8192,0,0,0,0,100
static,3,2346,512,100,1800,1200,1500,2,60000,0,0,0,60000,0,100,0.8192,0,0,0,0,100
static,3,2346,512,100,1800,1500,1800,2,60000,0,0,0,60000,0,100,0.8192,0,0,0,0,100
static,4,2346,512,100,1800,2,300,3,89400,0,0,0,89400,0,100,1.2288,0,0,0,0,66.6667
static,4,2346,512,100,1800,300,600,3,90000,0,0,0,90000,0,100,1.2288,0,0,0,0,66.6667
static,4,2346,512,100,1800,600,900,3,90000,0,0,0,90000,0,100,1.2288,0,0,0,0,66.6667
static,4,2346,512,100,1800,900,1200,3,90000,0,0,0,90000,0,100,1.2288,0,0,0,0,66.6667
