mode,nNodes,clients,rtsCtsThreshold,packetSize,packetRate,simTime,serverStart,clientStart,offeredLoadMbps,measuredFlows,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
static,2,1,2346,512,100,1800,1,2,0.4096,1,179800,0,0,0,179800,0,100,0,0,0,0,100
static,3,2,2346,512,100,1800,1,2,0.8192,2,359600,0,0,0,359600,0,100,0,0,0,0,100
static,4,3,2346,512,100,1800,1,2,1.2288,3,539400,0,0,0,539400,0,100,0,0,0,0,66.6667
static,5,4,2346,512,100,1800,1,2,1.6384,4,719200,0,0,0,719200,0,100,0,0,0,0,75
static,6,5,2346,512,100,1800,1,2,2.048,5,899000,179800,97092000,92057600,719200,20,80,0.409145,0.464669,0,0,40
static,7,6,2346,512,100,1800,1,2,2.4576,6,1048800,179800,97092000,92057600,869000,17.1434,82.8566,0.409145,0.46493,0,0,48.5698
static,8,7,2346,512,100,1800,1,2,2.8672,7,1198600,179800,97092000,92057600,1018800,15.0008,84.9992,0.409145,0.46463,0,0,69.9983
static,9,8,2346,512,100,1800,1,2,3.2768,8,1348400,0,0,0,1348400,0,100,0,0,0,0,75.5562
static,10,9,2346,512,100,1800,1,2,3.6864,9,1498200,179800,97092000,92057600,1318400,12.0011,87.9989,0.409145,0.464361,0,0,87.9989
static,11,10,2346,512,100,1800,1,2,4.096,10,1648000,0,0,0,1648000,0,100,0,0,0,0,78.1796
static,12,11,2346,512,100,1800,1,2,4.5056,11,1767800,0,0,0,1767800,0,100,0,0,0,0,79.6583
static,13,12,2346,512,100,1800,1,2,4.9152,12,1887600,319056,172290240,163356672,1568544,16.9027,83.0973,0.72603,3.41782,0,0,82.5387
static,14,13,2346,512,100,1800,1,2,5.3248,13,2007400,0,0,0,2007400,0,100,0,0,0,0,91.0431
static,15,14,2346,512,100,1800,1,2,5.7344,14,2127200,0,0,0,2127200,0,100,0,0,0,0,85.9158
static,16,15,2346,512,100,1800,1,2,6.144,15,2247000,554480,299419200,283893760,1692520,24.6765,75.3235,1.26175,2.91988,0,0,53.3333
static,17,16,2346,512,100,1800,1,2,6.5536,16,2336800,149800,80892000,76697600,2187000,6.41048,93.5895,0.340878,0.465128,0,0,80.7686
static,18,17,2346,512,100,1800,1,2,6.9632,17,2426600,344585,186075900,176427520,2082015,14.2003,85.7997,0.784122,2.11077,0,0,76.5433
static,19,18,2346,512,100,1800,1,2,7.3728,18,2516400,119800,64692000,61337600,2396600,4.76077,95.2392,0.272612,0.464702,0,0,75.004
static,20,19,2346,512,100,1800,1,2,7.7824,19,2606200,179800,97092000,92057600,2426400,6.89893,93.1011,0.409145,0.4655,0,0,59.7652
static,21,20,2346,512,100,1800,1,2,8.192,20,2696000,149800,80892000,76697600,2546200,5.55638,94.4436,0.340878,0.464896,0,0,80
static,22,21,2346,512,100,1800,1,2,8.6016,21,2755800,119800,64692000,61337600,2636000,4.3472,95.6528,0.272612,0.464473,0,0,90.217
static,23,22,2346,512,100,1800,1,2,9.0112,22,2815600,119800,64692000,61337600,2695800,4.25487,95.7451,0.272612,0.464452,0,0,81.915
static,24,23,2346,512,100,1800,1,2,9.4208,23,2875400,297885,160857900,152517120,2577515,10.3598,89.6402,0.677854,3.732,0,0,76.0451
static,25,24,2346,512,100,1800,1,2,9.8304,24,2935200,0,0,0,2935200,0,100,0,0,0,0,81.6231
static,26,25,2346,512,100,1800,1,2,10.24,25,2995000,229199,123767460,117349888,2765801,7.65272,92.3473,0.521555,0.749489,0,0,73.0017
static,27,26,2346,512,100,1800,1,2,10.6496,26,3024800,328189,177222060,168032768,2696611,10.8499,89.1501,0.746812,2.25779,0,0,62.3711
static,28,27,2346,512,100,1800,1,2,11.0592,27,3054600,149800,80892000,76697600,2904800,4.90408,95.0959,0.340878,0.465555,0,0,76.4617
static,29,28,2346,512,100,1800,1,2,11.4688,28,3084400,149800,80892000,76697600,2934600,4.8567,95.1433,0.340878,0.465365,0,0,95.1433
static,30,29,2346,512,100,1800,1,2,11.8784,29,3114200,248797,134350380,127384064,2865403,7.98911,92.0109,0.566151,0.834631,0,0,71.1579
